ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS,INSTRUMENTS
BAK,BAK-N,OCC-BAK-002,BAK-157,13.7,0.20494,-176.47651,PRIA,Active,STR
BAK,BAK-N,OCC-BAK-003,BAK-14,15.2,0.20532,-176.47439,PRIA,Active,CAU
BAK,BAK-E,OCC-BAK-004,BAK-2000,23.5,0.19151,-176.45643,PRIA,Active,STR
BAK,BAK-E,OCC-BAK-005,BAK-2001,14,0.19159,-176.46014,PRIA,Active,STR
BAK,BAK-E,OCC-BAK-006,BAK-634,4.3,0.19404,-176.46729,PRIA,Active,STR
BAK,,OCC-BAK-007,BAK-50,14.9,0.18702,-176.4705,PRIA,Active,CAU
BAK,,OCC-BAK-008,BAK-02,14.6,0.1883,-176.47988,PRIA,Active,CAU
BAK,BAK-W,OCC-BAK-009,BAK-1999,25.6,0.19178,-176.48887,PRIA,Active,STR
BAK,BAK-W,OCC-BAK-010,BAK-1999,14.3,0.19181,-176.48867,PRIA,Active,"PH, ADP, CTD, STR, Soundtrap, EAR, ANCHOR"
BAK,,OCC-BAK-011,BAK-11,15.2,0.1989,-176.485,PRIA,Active,CAU
BAK,BAK-W,OCC-BAK-012,BAK-1999,5.2,0.19182,-176.48851,PRIA,Inactive,STR
BAK,BAK-N,OCC-BAK-013,BAK-2002,5.2,0.20357,-176.47609,PRIA,Inactive,STR
BAK,BAK-E,OCC-BAK-014,BAK-16,11.3,0.19459,-176.46281,PRIA,Inactive,"STR, CAU"
BAK,BAK-N,OCC-BAK-015,BAK-2003,17.4,0.20539,-176.47587,PRIA,Inactive,STR
BAK,BAK-S,OCC-BAK-016,BAK-06,5.5,0.18783,-176.47476,PRIA,Inactive,STR
BAK,BAK-W,OCC-BAK-017,BAK-1999,9.1,0.1918,-176.4886,PRIA,Inactive,STR
BAK,BAK-W,OCC-BAK-018,BAK-1999,18.6,0.19176,-176.48872,PRIA,Inactive,STR
BAK,,OCC-BAK-019,BAK-2004,18.9,0.18994,-176.46012,PRIA,Inactive,"ADP, SBE37, ANCHOR"
BAK,,OCC-BAK-020,BAK-2005,0.2,0.18995,-176.46015,PRIA,Inactive,SST-STR
BAK,BAK-S,OCC-BAK-021,BAK-06,2.4,0.18797,-176.47474,PRIA,Inactive,STR
BAK,,OCC-BAK-022,BAK-09,17,0.1868,-176.47007,PRIA,Inactive,CAU
FDP,FDP-SE,OCC-FDP-001,FDP-373,14.9,20.53755,144.89951,CNMI,Active,STR
FDP,,OCC-FDP-002,FDP-290,14,20.54518,144.88572,CNMI,Active,STR
FDP,FDP-SE,OCC-FDP-003,FDP-372,10.7,20.53791,144.89858,CNMI,Inactive,STR
FDP,FDP-W,OCC-FDP-004,FDP-374,18.6,20.5452,144.88556,CNMI,Inactive,STR
FDP,FDP-W,OCC-FDP-005,FDP-375,31.7,20.54528,144.88533,CNMI,Inactive,STR
FDP,FDP-SE,OCC-FDP-006,FDP-376,32.3,20.53724,144.9003,CNMI,Inactive,STR
FDP,,OCC-FDP-007,FDP-377,1.5,20.53712,144.89767,CNMI,Inactive,STR
FFP,,OCC-FFP-001,FFP-02,17.7,21.68675,-160.60316,MHI,Inactive,"EAR, STR, ANCHOR"
FFS,FFS-N,OCC-FFS-001,FFS-4528,24.4,23.87852,-166.29093,NWHI,Active,STR
FFS,FFS-N,OCC-FFS-002,FFS-42,17.7,23.87815,-166.29107,NWHI,Active,"STR, CAU"
FFS,FFS-N,OCC-FFS-003,FFS-4529,6.4,23.8756,-166.29175,NWHI,Active,STR
FFS,,OCC-FFS-004,FFS-43,16.8,23.88021,-166.27707,NWHI,Active,CAU
FFS,,OCC-FFS-005,FFS-4530,2.7,23.86608,-166.21969,NWHI,Active,STR
FFS,FFS-E,OCC-FFS-006,FFS-4531,26.5,23.83664,-166.11706,NWHI,Active,STR
FFS,FFS-E,OCC-FFS-007,FFS-44,18,23.83513,-166.11689,NWHI,Active,"STR, CAU"
FFS,FFS-E,OCC-FFS-008,FFS-4532,4.6,23.83024,-166.12027,NWHI,Active,STR
FFS,FFS-S,OCC-FFS-009,FFS-B009,27.4,23.63488,-166.18569,NWHI,Active,STR
FFS,FFS-S,OCC-FFS-010,FFS-40,14.3,23.63669,-166.18518,NWHI,Active,"STR, CAU"
FFS,FFS-S,OCC-FFS-011,FFS-4533,6.7,23.64113,-166.17979,NWHI,Active,STR
FFS,FFS-S,OCC-FFS-012,FFS-4534,1.5,23.64513,-166.17376,NWHI,Inactive,STR
FFS,,OCC-FFS-013,FFS-B013,4.6,23.76894,-166.26134,NWHI,Inactive,STR
FFS,FFS-W,OCC-FFS-014,FFS-41,12.5,23.79247,-166.25372,NWHI,Inactive,"STR, CAU"
